cycle,pc_if,pc_id,instr,is_decoding,id_ready,ex_ready,load_stall,jr_stall,misaligned_stall,branch_dec,pc_set,data_req,data_gnt,data_rvalid,if_busy,perf_imiss,instr_valid_id,mnemonic,category
3338,0x000002ea,0x000002fa,0xfec798e3,0,1,1,0,0,0,1,0,0,0,0,1,1,0,bne,ifetch_miss
3339,0x000002ea,0x000002fa,0xfec798e3,0,1,1,0,0,0,1,0,0,0,0,1,0,0,bne,ifetch_miss
3340,0x000002ee,0x000002ea,0x0005c703,1,1,1,0,0,0,1,0,0,0,0,1,1,1,lbu,useful_other
3341,0x000002ee,0x000002ea,0x0005c703,0,1,1,0,0,0,0,0,1,1,0,1,0,0,lbu,ifetch_miss
3342,0x000002f0,0x000002ee,0x00158593,1,0,0,0,0,0,0,0,0,0,0,1,0,1,addi,pipeline_backpressure
3343,0x000002f0,0x000002ee,0x00158593,1,1,1,0,0,0,0,0,0,0,1,1,0,1,addi,useful_other
3344,0x000002f4,0x000002f0,0x00168793,1,1,1,0,0,0,0,0,0,0,0,1,0,1,addi,useful_other
3345,0x000002f8,0x000002f4,0x00e68023,1,1,1,0,0,0,0,0,0,0,0,1,1,1,sb,useful_other
3346,0x000002f8,0x000002f4,0x00e68023,0,1,1,0,0,0,0,0,1,1,0,1,0,0,sb,ifetch_miss
3347,0x000002fa,0x000002f8,0x00f006b3,1,1,1,0,0,0,0,0,0,0,1,1,1,1,add,useful_other
3348,0x000002fa,0x000002f8,0x00f006b3,0,1,1,0,0,0,0,0,0,0,0,1,0,0,add,ifetch_miss
3349,0x000002fe,0x000002fa,0xfec798e3,1,1,1,0,0,0,0,0,0,0,0,1,1,1,bne,useful_other
3350,0x000002fe,0x000002fa,0xfec798e3,0,1,1,0,0,0,1,1,0,0,0,1,0,0,bne,branch_penalty
3351,0x000002ea,0x000002fa,0xfec798e3,0,1,1,0,0,0,1,0,0,0,0,1,1,0,bne,ifetch_miss
3352,0x000002ea,0x000002fa,0xfec798e3,0,1,1,0,0,0,1,0,0,0,0,1,1,0,bne,ifetch_miss
3353,0x000002ea,0x000002fa,0xfec798e3,0,1,1,0,0,0,1,0,0,0,0,1,1,0,bne,ifetch_miss
3354,0x000002ea,0x000002fa,0xfec798e3,0,1,1,0,0,0,1,0,0,0,0,1,0,0,bne,ifetch_miss
